"OBJECTID","STOPNAME","TRAPEZESTOPABBR","RUCUSSTOPABBR","STOPID","LATITUDE","LONGITUDE","ACCESSIBILITYMASK","ATSTREET","ONSTREET","POSITION","ORIENTATION","SERVICEPLANNINGSTOPTYPE","SHELTER","INSERT_TIMESTAMP","SDE_ID","SIGNUPID","SUPERVISOR_DISTRICT","shape","data_as_of","data_loaded_at"
"103256","Judah St&40th Ave NE-NS/SI","JUDA40A0","JUDA40AV","5211","37.760743","-122.499359",,"40TH AVE","JUDAH ST","NS","NE","SI","0","1757027498000","16412241","150","4","POINT (-122.499359 37.760743)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104239","Clay St&Kearny St SE-FS/BZ","CLAYKRN1","CLAYKRNY","4021","37.794477","-122.404411",,"KEARNY ST","CLAY ST","FS","SE","BZ","0","1757027498000","16418100","150","3","POINT (-122.404411 37.794477)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104079","Silver Ave&Gambier St NE-NS/PS","SILVGAM1","SILVGAMB","6406","37.7289","-122.422569",,"GAMBIER ST","SILVER AVE","NS","NE",,"0","1757027498000","16414972","150","11","POINT (-122.422569 37.7289)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102521","California St&Cherry St NW-FS/BZ","CALICHR0","CALICHRY","3852","37.786042","-122.456835",,"CHERRY ST","CALIFORNIA ST","FS","NW","BZ","0","1757027498000","16409992","150","2","POINT (-122.456835 37.786042)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103862","Sunnydale Ave&Bayshore Blvd SW-NS","SUNYBSH0",,"7297","37.708801","-122.40525",,"BAYSHORE BLVD","SUNNYDALE AVE",,,,"0","1757027498000","16417674","150","10","POINT (-122.40525 37.708801)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105282","Church St&22ND St SW-FS/PS","CHUR22SO","ROW 22ST","6218","37.754607","-122.42775",,"22ND ST","CHURCH ST","NS","NW",,"0","1757027498000","16417243","150","8","POINT (-122.42775 37.754607)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104028","Divisadero St&McAllister St NE-FS","DIVIMCA1","DIVIMCAL","4428","37.77786","-122.4383",,"MCALLISTER ST","DIVISADERO ST","FS","NE","BZ","0","1757027498000","16417915","150","5","POINT (-122.4383 37.77786)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104180","Quintara St&41st Ave NE-NS","QUIN41A0","QUIN41AV","6162","37.74768","-122.49952",,"41ST AVE","QUINTARA ST","NS","NE",,"0","1757027498000","16415059","150","4","POINT (-122.49952 37.74768)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104828","Polk St&Lombard St NW-NS/BZ","POLKLOM0","POLKLOMB","5990","37.80167","-122.42303",,"LOMBARD ST","POLK ST","NS","NW","BZ","0","1757027498000","16416793","150","3","POINT (-122.42303 37.80167)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102224","Balboa St&40TH Ave NE-NS/PS","BBOA40A0","BBOA40AV","3063","37.775637","-122.500399",,"40TH AVE","BALBOA ST","NS","NE",,"0","1757027498000","16408847","150","1","POINT (-122.500399 37.775637)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104376","Market St&Hyde St N-NS/BZ","MRKTHYD3",,"7423","37.778784","-122.414723",,"HYDE ST","MARKET ST",,,,"0","1757027498000","16419431","150","6","POINT (-122.414723 37.778784)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102097","9th Ave&Noriega St NW-NS/BZ",".9AVNOR0","9AVNORI","3224","37.754804","-122.465758",,"NORIEGA ST","9TH AVE","NS","NW","BZ","0","1757027498000","16408895","150","7","POINT (-122.465758 37.754804)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103488","Forest Hill Station Inbound","FHS....1","FHS.....","5730","37.748351","-122.458623",,"TERMINAL","METRO",,,,"0","1757027498000","16412965","150","7","POINT (-122.458623 37.748351)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104999","Sutter St&Jones St NW-FS/BZ","SUTTJON0","SUTTJONE","6595","37.788643","-122.413618",,"JONES ST","SUTTER ST","FS","NW","BZ","0","1757027498000","16416968","150","3","POINT (-122.413618 37.788643)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102845","Evans Ave&Newhall St E-NS/SB","EVANNEW1","EVANNEWH","4555","37.741949","-122.386408",,"NEWHALL ST","EVANS AVE","FS","WE","BZ","0","1757027498000","16410579","150","10","POINT (-122.386408 37.741949)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
