"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"Modena Pizza and Ice Cream","32 6th St","","San Francisco","CA","94103","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Mollie Stone's Tower Market","635 Portola Dr","","San Francisco","CA","94127","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Mollie Stones Market 9","4201 18th St","","San Francisco","CA","94114","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Mp Seafood","848 Jackson St","","San Francisco","CA","94133","SAN FRANCISCO","Specialty Store","","","USDA","San Francisco (City, 2020)"
"Mulan's Market","2570 Noriega St","","San Francisco","CA","94122","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Mustafio's Pizza","1116 Polk St","","San Francisco","CA","94109","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"NEW CASA MARIA","1201 S Van Ness Ave","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"NEW INDIA BAZAR","1107 Polk St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"NEW LIEN HING LLC","400 Clement St","","San Francisco","CA","94118","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"NICK'S SUPER MARKET","144 PAGE STREET","","SAN FRANCISCO","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"NORMAN'S LIQUOR","733 Randolph St","","San Francisco","CA","94132","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Nabilas Natural Foods Corp","559 Hayes St","","San Francisco","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Neill's Liquor & Groceries","521 3rd St","","San Francisco","CA","94107","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"New College Hill Market","3798 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"New Fruit Garden Llc","1216 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"New Hampshire Market","2701 20th St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"New Heng Fung Inc.","2444 Noriega St","","San Francisco","CA","94122","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"New Louie's Inc.","1213 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Specialty Store","","","USDA","San Francisco (City, 2020)"
"New Luen Sing Fish Market","1207 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Specialty Store","","","USDA","San Francisco (City, 2020)"
"New Rainbow House LLC","1014 Stockton St","","San Francisco","CA","94108","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"New Sheng Hing Market 2","1265 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Specialty Store","","","USDA","San Francisco (City, 2020)"
"New Sheng Hing Market Inc.","1107 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"New Star Ell","501 Divisadero St","","San Francisco","CA","94117","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
